dataset,workstations,solução,tempo execução
TONGE70.IN2,3,1171,7.50
TONGE70.IN2,4,879,9.46
TONGE70.IN2,5,703,6.89
TONGE70.IN2,6,587,9.37
TONGE70.IN2,7,504,11.48
TONGE70.IN2,8,443,10.57
TONGE70.IN2,9,394,13.79
TONGE70.IN2,10,354,12.90
TONGE70.IN2,20,204,27.45
WEE-MAG.IN2,3,500,2.33
WEE-MAG.IN2,4,375,2.22
WEE-MAG.IN2,5,300,2.87
WEE-MAG.IN2,6,250,3.29
WEE-MAG.IN2,7,215,3.19
WEE-MAG.IN2,12,137,5.09
WEE-MAG.IN2,13,117,6.92
WEE-MAG.IN2,14,117,7.46
WEE-MAG.IN2,17,102,8.47
ARC83.IN2,6,12638,14.40
SCHOLL.IN2,25,3179,630.80
SCHOLL.IN2,35,2635,578.20
